h,r,original,replacement,augmented_U,augmented_V
9,5,fffff,fffff,07ffc,f80ff
9,6,fffff,fffff,07ffc,f80ff
9,7,fffff,fffff,07ffc,f80ff
9,8,fffff,fffff,07ff8,f00ff
9,9,00000,00000,00000,00000
9,10,fffff,fffff,0fff0,ff807
9,11,fffff,fffff,1fff0,ff80f
9,12,fffff,fffff,3fff0,ff81f
9,13,fffff,fffff,7fff0,ff83f
9,14,fffff,fffff,7fff0,ff83f
9,15,fffff,fffff,7fff0,ff83f
9,16,fffff,fffff,7fff0,ff83f
9,17,fffff,fffff,7ffe0,ff03f
9,18,fffff,fffff,7ffc0,fe03f
9,19,fffff,fffff,7ff80,fc03f
10,0,00000,00000,00000,00000
10,1,fffff,fffff,03ffc,f807f
10,2,fffff,fffff,07ffc,f80ff
10,3,fffff,fffff,0fffc,f81ff
10,4,fffff,fffff,0fffc,f81ff
10,5,fffff,fffff,0fffc,f81ff
10,6,fffff,fffff,0fffc,f81ff
10,7,fffff,fffff,0fffc,f81ff
10,8,fffff,fffff,0fff8,f01ff
10,9,fffff,fffff,0fff0,e01ff
10,10,00000,00000,00000,00000
10,11,fffff,fffff,1ffe0,ff00f
10,12,fffff,fffff,3ffe0,ff01f
10,13,fffff,fffff,7ffe0,ff03f
10,14,fffff,fffff,7ffe0,ff03f
10,15,fffff,fffff,7ffe0,ff03f
10,16,fffff,fffff,7ffe0,ff03f
10,17,fffff,fffff,7ffe0,ff03f
10,18,fffff,fffff,7ffc0,fe03f
10,19,fffff,fffff,7ff80,fc03f
